Country_Region,Confirmed,Deaths,Recovered
US,10236,100,0
US,1289,25,0
US,8453,84,0
US,429,8,0
US,1395,39,0
US,811,8,0
US,1829,16,0
US,38737,532,0
US,2029,51,0
US,1457,63,0
US,680,25,0
US,4829,213,0
US,8425,109,0
US,811,41,0
US,376,3,0
US,2701,35,0
US,1651,33,0
US,1880,53,0
US,667,13,0
US,1376,43,0
US,4920,77,0
US,7828,128,0
US,11006,81,0
US,1832,26,0
US,57724,790,0
US,1846,38,0
US,179,4,0
US,5297,135,0
US,4943,66,0
US,1333,32,0
US,1144,28,0
US,58565,604,0
US,3729,93,0
US,18627,235,0
US,680,48,0
US,1884,38,0
US,1482,29,0
US,1556,33,0
US,589,11,0
US,13699,159,0
US,8216,130,0
US,666,17,0
US,5735,73,0
US,845,9,0
US,1254,35,0
US,1319,40,0
US,567,34,0
US,744,34,0
US,1185,24,0
US,1197,32,0
US,532,10,0
US,3814,122,0
US,1567,33,0
US,1948,31,0
US,439,11,0
US,514,5,0
US,8766,136,0
US,1977,23,0
US,469,16,0
US,1878,24,0
US,314,10,0
US,1369,26,0
US,513,10,0
US,1119,20,0
US,551,3,0
US,1380,52,0
US,1622,64,0
US,626,10,0
US,1170,10,0
US,3058,42,0
US,9888,209,0
US,6009,127,0
US,2369,42,0
US,900,14,0
US,24826,348,0
US,8712,111,0
US,1554,33,0
US,1878,20,0
US,1672,33,0
US,1351,21,0
US,3483,46,0
US,600,30,0
US,1374,31,0
US,100,1,0
US,1151,17,0
US,426,31,0
US,15042,253,0
US,4065,81,0
US,235,2,0
US,595,15,0
US,683,12,0
US,3762,98,0
US,2266,50,0
US,685,17,0
US,1737,74,0
US,295,9,0
US,55,0,0
US,1520,36,0
US,541,14,0
US,819,39,0
US,576,35,0
US,2844,85,0
US,3654,81,0
US,2371,70,0
US,813,37,0
US,510,15,0
US,5051,128,0
US,669,25,0
US,424,19,0
US,3676,6,0
US,1465,42,0
US,2258,82,0
US,4154,59,0
US,5729,92,0
US,3293,83,0
US,286,9,0
US,1402,46,0
US,2146,49,0
US,89,2,0
US,490,19,0
US,2173,37,0
US,11947,126,0
US,591,35,0
US,639,10,0
US,640,18,0
US,1162,40,0
US,103,3,0
US,7326,122,0
US,1922,45,0
US,18235,224,0
US,147,1,0
US,1432,17,0
US,661,2,0
US,0,0,0
US,38262,355,0
US,260,3,0
US,6440,63,0
US,274,2,0
US,433,4,0
US,3649,46,0
US,1562,13,0
US,240,2,0
US,1960,13,0
US,10383,117,0
US,568,7,0
US,162,0,0
US,56,0,0
US,20597,219,0
US,534,10,0
US,2537,20,0
US,53,0,0
US,828,6,0
US,203,2,0
US,1347,9,0
US,916,8,0
US,871,14,0
US,1416,21,0
US,1147,18,0
US,1024,15,0
US,2067,15,0
US,2217,16,0
US,12612,116,0
US,2154,6,0
US,462,9,0
US,342,5,0
US,434,9,0
US,5248,18,0
US,2062,23,0
US,3027,44,0
US,250,2,0
US,886,20,0
US,2062,24,0
US,546,4,0
US,840,26,0
US,723,2,0
US,7946,113,0
US,1,0,0
US,482,3,0
US,994,14,0
US,6477,73,0
US,341,7,0
US,1554,15,0
US,5070,61,0
US,451,5,0
US,2813,66,0
US,381,1,0
US,1333,31,0
US,1586,19,0
US,13832,84,0
US,2600,49,0
US,1212,24,0
US,1198,32,0
US,4485,75,0
US,4294,70,0
US,393652,7860,0
US,1578,20,0
US,937,14,0
US,915,18,0
US,6643,78,0
US,1854,22,0
US,61805,958,0
US,1344,27,0
US,397,5,0
US,3860,52,0
US,2664,46,0
US,1227,37,0
US,3362,48,0
US,2342,28,0
US,330,3,0
US,1115,30,0
US,3859,44,0
US,601,10,0
US,1316,20,0
US,217,7,0
US,397,4,0
US,3692,39,0
US,2323,49,0
US,3650,51,0
US,894,13,0
US,2926,81,0
US,1972,30,0
US,1388,21,0
US,982,9,0
US,41511,564,0
US,10678,152,0
US,8449,68,0
US,4059,104,0
US,8363,186,0
US,48300,763,0
US,1985,20,0
US,2707,30,0
US,3140,51,0
US,2705,39,0
US,7959,163,0
US,3273,60,0
US,21054,341,0
US,3548,97,0
US,578,8,0
US,1026,37,0
US,893,26,0
