Geography,Geographic_Area_Name,Population 
1400000US11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",3005
1400000US11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",3192
1400000US11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",4177
1400000US11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",1685
1400000US11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",3972
1400000US11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",3205
1400000US11001009510,"Census Tract 95.10, District of Columbia, District of Columbia",4853
1400000US11001009511,"Census Tract 95.11, District of Columbia, District of Columbia",2016
1400000US11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",2315
1400000US11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",4648
1400000US11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",3902
1400000US11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",2414
1400000US11001009700,"Census Tract 97, District of Columbia, District of Columbia",3556
1400000US11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",1816
1400000US11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",1913
1400000US11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",3334
1400000US11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",2668
1400000US11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",3611
1400000US11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",2419
1400000US11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",4051
1400000US11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",2290
1400000US11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",3159
1400000US11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",2379
1400000US11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",3102
1400000US11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",3082
1400000US11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",1832
1400000US11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",2483
1400000US11001010100,"Census Tract 101, District of Columbia, District of Columbia",2766
1400000US11001010201,"Census Tract 102.01, District of Columbia, District of Columbia",2522
1400000US11001010202,"Census Tract 102.02, District of Columbia, District of Columbia",1960
1400000US11001010300,"Census Tract 103, District of Columbia, District of Columbia",4055
1400000US11001010400,"Census Tract 104, District of Columbia, District of Columbia",4596
1400000US11001010500,"Census Tract 105, District of Columbia, District of Columbia",4027
1400000US11001010601,"Census Tract 106.01, District of Columbia, District of Columbia",1916
1400000US11001010602,"Census Tract 106.02, District of Columbia, District of Columbia",5726
1400000US11001010603,"Census Tract 106.03, District of Columbia, District of Columbia",2496
1400000US11001010700,"Census Tract 107, District of Columbia, District of Columbia",1658
1400000US11001010800,"Census Tract 108, District of Columbia, District of Columbia",6199
1400000US11001010900,"Census Tract 109, District of Columbia, District of Columbia",3634
1400000US11001011001,"Census Tract 110.01, District of Columbia, District of Columbia",2385
1400000US11001011002,"Census Tract 110.02, District of Columbia, District of Columbia",1519
1400000US11001011100,"Census Tract 111, District of Columbia, District of Columbia",5192
1400000US11001980000,"Census Tract 9800, District of Columbia, District of Columbia",17
1400000US24001000100,"Census Tract 1, Allegany County, Maryland",3462
1400000US24001000200,"Census Tract 2, Allegany County, Maryland",4245
1400000US24001000500,"Census Tract 5, Allegany County, Maryland",2241
1400000US24001000600,"Census Tract 6, Allegany County, Maryland",2726
1400000US24001000700,"Census Tract 7, Allegany County, Maryland",3233
1400000US24001000800,"Census Tract 8, Allegany County, Maryland",1865
1400000US24001001000,"Census Tract 10, Allegany County, Maryland",2325
1400000US24001001100,"Census Tract 11, Allegany County, Maryland",1283
1400000US24001001200,"Census Tract 12, Allegany County, Maryland",3009
1400000US24001001300,"Census Tract 13, Allegany County, Maryland",5644
1400000US24001001401,"Census Tract 14.01, Allegany County, Maryland",3865
1400000US24001001402,"Census Tract 14.02, Allegany County, Maryland",1593
1400000US24001001502,"Census Tract 15.02, Allegany County, Maryland",2108
1400000US24001001503,"Census Tract 15.03, Allegany County, Maryland",1605
1400000US24001001600,"Census Tract 16, Allegany County, Maryland",1520
1400000US24001001700,"Census Tract 17, Allegany County, Maryland",3598
1400000US24001001800,"Census Tract 18, Allegany County, Maryland",4263
1400000US24001001900,"Census Tract 19, Allegany County, Maryland",2691
1400000US24001002000,"Census Tract 20, Allegany County, Maryland",4983
1400000US24001002100,"Census Tract 21, Allegany County, Maryland",3018
1400000US24001002200,"Census Tract 22, Allegany County, Maryland",3695
1400000US24001002300,"Census Tract 23, Allegany County, Maryland",5712
1400000US24003701101,"Census Tract 7011.01, Anne Arundel County, Maryland",4352
1400000US24003701103,"Census Tract 7011.03, Anne Arundel County, Maryland",4102
1400000US24003701104,"Census Tract 7011.04, Anne Arundel County, Maryland",3628
1400000US24003701201,"Census Tract 7012.01, Anne Arundel County, Maryland",3762
1400000US24003701202,"Census Tract 7012.02, Anne Arundel County, Maryland",4435
1400000US24003701301,"Census Tract 7013.01, Anne Arundel County, Maryland",4341
1400000US24003701302,"Census Tract 7013.02, Anne Arundel County, Maryland",3665
1400000US24003701400,"Census Tract 7014, Anne Arundel County, Maryland",3736
1400000US24003702100,"Census Tract 7021, Anne Arundel County, Maryland",6193
1400000US24003702204,"Census Tract 7022.04, Anne Arundel County, Maryland",4778
1400000US24003702205,"Census Tract 7022.05, Anne Arundel County, Maryland",5161
1400000US24003702206,"Census Tract 7022.06, Anne Arundel County, Maryland",7338
1400000US24003702208,"Census Tract 7022.08, Anne Arundel County, Maryland",8529
1400000US24003702209,"Census Tract 7022.09, Anne Arundel County, Maryland",4006
1400000US24003702300,"Census Tract 7023, Anne Arundel County, Maryland",5501
1400000US24003702402,"Census Tract 7024.02, Anne Arundel County, Maryland",7554
1400000US24003702500,"Census Tract 7025, Anne Arundel County, Maryland",7105
1400000US24003702601,"Census Tract 7026.01, Anne Arundel County, Maryland",6000
1400000US24003702602,"Census Tract 7026.02, Anne Arundel County, Maryland",6470
1400000US24003702702,"Census Tract 7027.02, Anne Arundel County, Maryland",3739
1400000US24003702703,"Census Tract 7027.03, Anne Arundel County, Maryland",2671
